type,olfactory,gustatory,thermosensory,mechanosensory,hygrosensory,chemosensory,visual
FB6B,7.942416353930448e-07,4.16738848469525e-06,2.1058874879092173e-05,1.1979601533566468e-06,7.383962827648181e-06,1.222948521006569e-06,7.712486384697693e-08
FB6C_a,1.83808251055833e-06,1.3836632569844805e-05,5.975192482735225e-06,1.0096214862454632e-06,2.600785481996967e-06,7.620693211552899e-07,2.1503475593552508e-08
FB6C_b,1.819168723121491e-06,1.7876859281496116e-05,6.917022550674417e-06,1.5219396419500712e-06,3.304118599120475e-06,9.039302646313222e-07,3.480833432486875e-08
FB6D,1.749728703730545e-06,1.4643690276463088e-05,6.789326132693851e-06,1.450490192775123e-06,3.9243370096489405e-06,9.238839292579574e-07,5.646115205862451e-08
FB6E,1.0490106148556257e-06,1.9710238862256e-06,4.279022241298537e-06,2.8101361287339883e-07,3.828038866779681e-06,2.840658171054227e-07,2.1195876090254557e-08
FB6F,2.4082563532237936e-06,3.814188896887132e-06,9.074880435165156e-05,2.3189202336372788e-06,5.046587053844317e-05,1.7575828516535245e-06,2.1984629119449504e-07
FB6G,2.647418058006727e-06,1.0805772981555348e-05,7.438989053659385e-06,8.495615267331522e-07,6.1123383289130795e-06,5.482131626234373e-07,2.2057593253095507e-08
FB6H,1.1137697267989426e-06,7.37847891897045e-06,1.651749425555371e-05,1.4139798173343075e-06,1.0740444663423818e-05,1.1439472412610002e-06,1.4930523930325367e-07
FB6I,3.029663909526604e-06,1.7621628142485217e-05,5.628093872077402e-06,1.7418399612666784e-06,4.221869105193922e-06,1.0066454306861785e-06,3.059727534968836e-08
FB6J,1.2280346756921302e-08,2.1063744574309686e-08,9.876313998125921e-08,4.492556267807309e-09,4.6485333360957465e-08,4.458651873846379e-09,3.146904743621944e-09
FB6K,5.51954889056785e-07,6.4980618328087065e-06,3.1845614143382795e-06,4.877653154226942e-07,3.137385101737631e-06,1.5492268818983548e-06,1.9426783708183772e-08
FB6L,4.7536935643765455e-08,1.0942902502271978e-07,2.183280906378675e-07,2.018694505418396e-08,1.34270713526134e-07,2.7854293178486817e-09,3.6104873271971294e-09
FB6M,1.0777792676559323e-06,1.4307028227504165e-06,1.3048381864731265e-05,2.8627136260155433e-06,2.836320063366012e-06,1.879121000305177e-07,1.518180020669355e-07
FB6N,2.1314928534328e-06,2.1006490935829983e-06,7.911616642835702e-06,5.354888992922868e-07,7.2140574062105164e-06,3.2780126639337316e-07,2.3362881806934544e-08
FB6O,1.036699682959071e-06,1.3912661596674885e-06,9.923264576939836e-06,2.2188219621335124e-07,8.188263358196611e-06,1.5598556415862112e-07,1.9404513204406568e-08
FB6P,4.143209678615824e-07,1.1375739267772582e-06,2.7518539503235648e-06,2.026467786315582e-07,1.0230488777473443e-06,1.3264847004614352e-07,1.7278479792443158e-08
FB6Q,1.311308130887529e-05,1.4980496433077054e-05,3.709356723562257e-05,3.171954861045491e-06,1.6070924401099314e-05,1.8115035860263012e-06,5.111033572331516e-08
FB6R,1.7853897233660993e-06,2.153641023402603e-06,7.615322810633354e-06,4.373920069753162e-07,3.563001806297203e-06,1.0957989597112035e-06,3.8962453351695005e-08
FB6S,6.397020072130204e-06,1.8647131956924228e-05,1.6012832184905162e-05,3.114395256773843e-06,1.1002478742808216e-05,1.0213057965573046e-06,6.276070305410493e-08
FB6T,1.300345554381822e-05,2.6837653994987276e-05,5.4093064505303644e-05,5.048907477822592e-06,2.0193003755163526e-05,1.0345707749967876e-06,8.246136600090515e-08
FB6U,1.709248357708849e-06,3.494534683750561e-06,9.465677553304635e-06,6.304836243102879e-07,4.68267661190266e-06,4.561573475165253e-07,8.362717632341848e-08
FB6V,1.9631252157546424e-06,4.040066185100532e-06,6.694251699577317e-06,7.191262406960797e-07,4.070521217993879e-06,3.239259158314995e-07,9.361375237414718e-08
FB6W,8.56973198428285e-07,2.1356735722224037e-06,5.32226440931942e-06,4.836313697856308e-07,2.398202037263167e-06,2.889269498613064e-07,1.1307003026265822e-07
FB6X,1.5745914000870465e-06,3.7025473074335834e-06,1.797482413703417e-05,1.0330809311191334e-06,6.3530999376066605e-06,7.838049057004718e-07,1.1140337945425553e-07
FB6Y,1.7943006461341024e-06,4.227123012395142e-06,1.1003660605106758e-05,4.975600167226824e-07,4.591628504210959e-06,3.0902146487626126e-07,1.327078702135492e-07
FB6Z,3.9905223676333245e-06,1.5207531312803526e-05,1.3423967278102687e-05,2.116275854041941e-06,8.108670643937517e-06,1.2944833890506302e-06,5.481914095082376e-08
FB7A,3.0793352162135274e-06,9.760542568980936e-06,5.670209709035768e-06,7.656131602615323e-07,4.38627215009895e-06,4.6088846438654834e-07,3.120945003753146e-08
FB7B,2.5714420865159126e-06,1.0773305326951173e-05,3.700758092471088e-05,3.0939724095780607e-06,4.98670602294251e-05,1.9393963483399794e-06,2.395507232798509e-07
FB7C,1.3514923182077636e-06,2.4934354860544328e-06,1.2295873143538538e-05,5.339610126159821e-06,9.563545245692778e-06,2.4320329624363568e-06,5.011569803269403e-08
FB7D_a,2.4980574455309882e-08,1.375922848004533e-08,1.3772296892088968e-07,3.50484389727208e-09,1.0634945538241856e-07,4.689518329956524e-09,2.1953363780986865e-08
